file;cat1;cat2;cat3;id;caption;frames
dlc\bob\data\animations\animations\animals\dog\dog_animation.w2anims;bob-animals;dog;;tricks_loop01;tricks loop01;258
dlc\bob\data\animations\animations\animals\dog\dog_animation.w2anims;bob-animals;dog;;tricks_loop02;tricks loop02;240
dlc\bob\data\animations\animations\animals\dog\dog_animation.w2anims;bob-animals;dog;;tricks_loop03;tricks loop03;185
dlc\bob\data\animations\animations\animals\golden oriole\ep2_golden_oriole_animation.w2anims;bob-animals;golden oriole;;sq701_golden_oriole_additive_look_left;sq701 golden oriole additive look left;90
dlc\bob\data\animations\animations\animals\golden oriole\ep2_golden_oriole_animation.w2anims;bob-animals;golden oriole;;sq701_golden_oriole_additive_look_left_move_leg;sq701 golden oriole additive look left move leg;90
dlc\bob\data\animations\animations\animals\golden oriole\ep2_golden_oriole_animation.w2anims;bob-animals;golden oriole;;sq701_golden_oriole_additive_look_right;sq701 golden oriole additive look right;95
dlc\bob\data\animations\animations\animals\golden oriole\ep2_golden_oriole_animation.w2anims;bob-animals;golden oriole;;sq701_golden_oriole_additive_look_right_move_leg;sq701 golden oriole additive look right move leg;95
dlc\bob\data\animations\animations\animals\golden oriole\ep2_golden_oriole_animation.w2anims;bob-animals;golden oriole;;sq701_golden_oriole_fly_enter_to_idle;sq701 golden oriole fly enter to idle;195
dlc\bob\data\animations\animations\animals\golden oriole\ep2_golden_oriole_animation.w2anims;bob-animals;golden oriole;;sq701_golden_oriole_gesture_look_left_and_right;sq701 golden oriole gesture look left and right;46
dlc\bob\data\animations\animations\animals\golden oriole\ep2_golden_oriole_animation.w2anims;bob-animals;golden oriole;;sq701_golden_oriole_gesture_pecking;sq701 golden oriole gesture pecking;44
dlc\bob\data\animations\animations\animals\golden oriole\ep2_golden_oriole_animation.w2anims;bob-animals;golden oriole;;sq701_golden_oriole_gesture_squeak;sq701 golden oriole gesture squeak;17
dlc\bob\data\animations\animations\animals\golden oriole\ep2_golden_oriole_animation.w2anims;bob-animals;golden oriole;;sq701_golden_oriole_idle;sq701 golden oriole idle;88
dlc\bob\data\animations\animations\animals\golden oriole\ep2_golden_oriole_animation.w2anims;bob-animals;golden oriole;;sq701_golden_oriole_idle_to_fly_exit;sq701 golden oriole idle to fly exit;75
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_ death_left;mcat  death left;65
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_ death_right;mcat  death right;65
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_additive_growling;mcat additive growling;80
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_additive_lookat;mcat additive lookat;90
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_attack_bite;mcat attack bite;40
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_attack_claws_left;mcat attack claws left;42
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_attack_claws_right;mcat attack claws right;42
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_attack_grab_left_copy;mcat attack grab left copy;139
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_attack_grab_right_copy;mcat attack grab right copy;139
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_attack_one_claw_idle_left;mcat attack one claw idle left;35
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_attack_one_claw_idle_right;mcat attack one claw idle right;35
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_attack_one_claw_run_left;mcat attack one claw run left;38
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_attack_one_claw_run_right;mcat attack one claw run right;39
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_attack_run;mcat attack run;27
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_attack_run_end;mcat attack run end;14
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_attack_run_start;mcat attack run start;13
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_confusion_loop;mcat confusion loop;132
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_confusion_start;mcat confusion start;30
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_confusion_stop;mcat confusion stop;38
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_counter_loop;mcat counter loop;16
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_counter_start;mcat counter start;30
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_counter_stop_straight;mcat counter stop straight;22
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_counter_stop_turn;mcat counter stop turn;29
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_crouch_back;mcat crouch back;46
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_crouch_forward;mcat crouch forward;46
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_crouch_idle;mcat crouch idle;90
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_crouch_idle_to_crouch_forward;mcat crouch idle to crouch forward;25
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_crouch_left;mcat crouch left;46
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_crouch_right;mcat crouch right;46
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_crouch_to_idle;mcat crouch to idle;45
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_crouch_to_run;mcat crouch to run;20
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_death;mcat death;110
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_dodge_left;mcat dodge left;26
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_dodge_right;mcat dodge right;26
dlc\bob\data\animations\animations\animals\panther\panther_animation.w2anims;bob-animals;panther;;mcat_hit_back;mcat hit back;40
