default;type;cat1;cat2;cat3;animid;caption;posename;emotional state;status
;60;bob-misc idle animations;animals;panther;mcat_attack_one_claw_idle_left;mcat attack one claw idle left;;;
;60;bob-misc idle animations;animals;panther;mcat_attack_one_claw_idle_right;mcat attack one claw idle right;;;
;60;bob-misc idle animations;animals;panther;mcat_crouch_idle;mcat crouch idle;;;
1;60;bob-misc idle animations;animals;panther;mcat_idle;mcat idle;;;
;60;bob-misc idle animations;animals;;dg_horse_standing_idle02;dg horse standing idle02;;;
1;60;bob-misc idle animations;animals;;sq701_golden_oriole_idle;sq701 golden oriole idle;;;
;10;bob-misc idle animations;child;;q702_bootblack_working_at_left_boot_idle;q702 bootblack working at left boot idle;;;
;10;bob-misc idle animations;child;;q702_bootblack_working_at_right_boot_look_up_idle;q702 bootblack working at right boot look up idle;;;
;10;bob-misc idle animations;child;;q704_boy_standing_looking_out_afraid_idle;q704 boy standing looking out afraid idle;;;
;10;bob-misc idle animations;child;;q704_fairytale_matchgirl_standing_idle;q704 fairytale matchgirl standing idle;;;
;10;bob-misc idle animations;child;;q704_low_standing_hold_doll_idle;q704 low standing hold doll idle;;;
;;bob-misc idle animations;items;;q701_geralt_high_standing_with_detlaff_hand_idle;q701 geralt high standing with detlaff hand idle;;;
;;bob-misc idle animations;items;;q701_holding_clues_idle_geralt;q701 holding clues idle geralt;;;
;;bob-misc idle animations;items;;q701_read_scroll_idle;q701 read scroll idle;;;
;;bob-misc idle animations;items;;q702_hand_palm_down_idle;q702 hand palm down idle;;;
;;bob-misc idle animations;items;;q702_hand_palm_up_idle;q702 hand palm up idle;;;
;;bob-misc idle animations;items;;q703_sommelier_holding_wine_stained_paper_idle;q703 sommelier holding wine stained paper idle;;;
;;bob-misc idle animations;items;;sharley_bells_idle;sharley bells idle;;;
;2;bob-misc idle animations;man;dialog;low_kneeling_determined2_forensics_idle;low kneeling determined2 forensics idle;;;
;2;bob-misc idle animations;man;dialog;man_noble_posing_mirror_loop_idle_01_dialog_recompress;man noble posing mirror loop idle 01 dialog recompress;;;
;2;bob-misc idle animations;man;dialog;q701_guillame_beaten_on_ground_idle;q701 guillame beaten on ground idle;;;
;2;bob-misc idle animations;man;dialog;q701_knight_stand_at_attention_idle;q701 knight stand at attention idle;;;
;2;bob-misc idle animations;man;dialog;q701_man_halaberd_alert_idle;q701 man halaberd alert idle;;;
;2;bob-misc idle animations;man;dialog;q701_milton_lifts_up_guillame_idle_guillame;q701 milton lifts up guillame idle guillame;;;
;2;bob-misc idle animations;man;dialog;q701_milton_lifts_up_guillame_idle_milton;q701 milton lifts up guillame idle milton;;;
;2;bob-misc idle animations;man;dialog;q702_geralt_sitting_at_wight_table_idle;q702 geralt sitting at wight table idle;;;
;2;bob-misc idle animations;man;dialog;q703_bandit_fallen_on_knees_idle;q703 bandit fallen on knees idle;;;
;2;bob-misc idle animations;man;dialog;q703_bandit_low_standing_beaten_idle;q703 bandit low standing beaten idle;;;
;2;bob-misc idle animations;man;dialog;q703_damien_holding_bandit_idle;q703 damien holding bandit idle;;;
;2;bob-misc idle animations;man;dialog;q703_damien_interrogation_idle;q703 damien interrogation idle;;;
;2;bob-misc idle animations;man;dialog;q704_truth_07_nolwenn_standing_aggressive_idle;q704 truth 07 nolwenn standing aggressive idle;;;
;2;bob-misc idle animations;man;dialog;q704_truth_07_unseen_hanging_idle;q704 truth 07 unseen hanging idle;;;
;2;bob-misc idle animations;man;dialog;q705_geralt_standing_leaning_determined_idle;q705 geralt standing leaning determined idle;;;
;2;bob-misc idle animations;man;dialog;q705_tailor_sewing_idle;q705 tailor sewing idle;;;
;2;bob-misc idle animations;man;dialog;sq701_clerk_work_sitting_at_desk_idle;sq701 clerk work sitting at desk idle;;;
;2;bob-misc idle animations;man;dialog;sq701_geralt_fallen_down_injured_idle;sq701 geralt fallen down injured idle;;;
;2;bob-misc idle animations;man;dialog;sq701_geralt_high_kneeling_determined_idle;sq701 geralt high kneeling determined idle;;;
;2;bob-misc idle animations;man;dialog;sq701_geralt_meditation_idle;sq701 geralt meditation idle;;;
;2;bob-misc idle animations;man;dialog;sq701_guillaume_high_standing_happy_idle;sq701 guillaume high standing happy idle;;;
;2;bob-misc idle animations;man;dialog;sq701_guillaume_hold_hands_idle;sq701 guillaume hold hands idle;;;
;2;bob-misc idle animations;man;dialog;sq701_guillaume_hold_hands_idle_mirrored;sq701 guillaume hold hands idle mirrored;;;
;2;bob-misc idle animations;man;dialog;sq701_knight_man_shield_pose_idle;sq701 knight man shield pose idle;;;
;2;bob-misc idle animations;man;dialog;sq701_knight_sword_drawn_idle;sq701 knight sword drawn idle;;;
;0;bob-misc idle animations;man;dialog;sq701_papillon_trumpet_drawn_idle;sq701 papillon trumpet drawn idle;;;
;0;bob-misc idle animations;man;dialog;work_crossbow_aim_01_idle_dialog_recompress;work crossbow aim 01 idle dialog recompress;;;
;0;bob-misc idle animations;man;;ep2_swim_idle;ep2 swim idle;;;
;0;bob-misc idle animations;man;;fall_up_idle;fall up idle;;;
;2;bob-misc idle animations;man;;man_noble_posing_mirror_loop_idle_01;man noble posing mirror loop idle 01;;;
;2;bob-misc idle animations;man;;man_peasant_carrying_barels_idle;man peasant carrying barels idle;;;
;2;bob-misc idle animations;man;;man_work_meditation_idle_01;man work meditation idle 01;;;
;2;bob-misc idle animations;man;;man_work_meditation_idle_02;man work meditation idle 02;;;
;0;bob-misc idle animations;man;;q701_sneaking_basket_idle;q701 sneaking basket idle;;;
;2;bob-misc idle animations;man;;q703_a_mime_pulling_rope_idle;q703 a mime pulling rope idle;;;
;2;bob-misc idle animations;man;;q703_sorcerer_water_show_idle;q703 sorcerer water show idle;;;
;2;bob-misc idle animations;man;;q705_geralt_standing_holding_flowers_idle;q705 geralt standing holding flowers idle;;;
;2;bob-misc idle animations;man;;sq703_man_using_portable_megascope_from_standing_idle;sq703 man using portable megascope from standing idle;;;
;90;bob-misc idle animations;monsters;bruxa;bruxa_additive_lookat_idle;bruxa additive lookat idle;;;
1;90;bob-misc idle animations;monsters;bruxa;bruxa_idle;bruxa idle;;;
;90;bob-misc idle animations;monsters;bruxa;bruxa_spawn_idle;bruxa spawn idle;;;
1;90;bob-misc idle animations;monsters;echinops;locomotion_idle_underground;locomotion idle underground;;;
;90;bob-misc idle animations;monsters;echinops-bulb;locomotion_idle_underground1;locomotion idle underground1;;;
1;90;bob-misc idle animations;monsters;echinops-bulb;locomotion_idle1;locomotion idle1;;;
;90;bob-misc idle animations;monsters;fairytale witch;cauldron_idle;cauldron idle;;;
1;90;bob-misc idle animations;monsters;fairytale witch;high_standing_cauldron_idle;high standing cauldron idle;;;
;90;bob-misc idle animations;monsters;scolopendromorph;attack_unfold_to _idle;attack unfold to  idle;;;
;90;bob-misc idle animations;monsters;scolopendromorph;reaction_fold_idle;reaction fold idle;;;
