CAT1;CAT2;CAT3;ID;Caption;duration
bob;anna henrieta;;1132102;Yes, Geralt?;0.7959371
bob;anna henrieta;;1132108;Our knights guard our borders. And my cousin...;11.159214
bob;anna henrieta;;1149502;Another word, Palmerin, and I shall spill ev...;4.5053225
bob;anna henrieta;;1149504;I repeat for the last time, Syanna is respon...;14.020204
bob;anna henrieta;;1149511;Is this all you have to say?;2.1376994
bob;anna henrieta;;1149519;Do you take me for a fool?;2.295225
bob;anna henrieta;;1149523;I care not one whit what you have worked on,...;9.791931
bob;anna henrieta;;1149537;Ahh. At times I hunt foxes. Do you know how ...;20.152153
bob;anna henrieta;;1149539;You, witcher, have had a week. The aid of my...;10.5720005
bob;anna henrieta;;1149547;You tread on thin ice, witcher. Very thin. W...;9.142337
bob;anna henrieta;;1149553;Truly? Like the ones between a pathetic quip...;8.896966
bob;anna henrieta;;1149676;What? Speak, now!;1.8675979
bob;anna henrieta;;1150358;Which, to judge by your miens, has not yet c...;3.264706
bob;anna henrieta;;1150368;My patience is at an end, Geralt. Where is h...;5.063316
bob;anna henrieta;;1150420;I've begun to suspect my beagles might have ...;4.457229
bob;anna henrieta;;1150441;I should hope so, witcher. For the sake of a...;5.806119
bob;anna henrieta;;1156679;Mhm... And what of the funeral preparations?;3.3665571
bob;anna henrieta;;1156719;I've made my decision. Prepare to depart.;3.09173
bob;anna henrieta;;1157810;He's held his post for years. There's never ...;5.375493
bob;anna henrieta;;1157824;How did it end? Did you kill it?;2.5281477
bob;anna henrieta;;1157834;The important bit is yet to come.;1.9786061
bob;anna henrieta;;1158742;But to the matter at hand. Have you managed ...;5.8578362
bob;anna henrieta;;1161038;We've no time to lose!;1.6172721
bob;anna henrieta;;1161351;Faster, Geralt! Ride like the wind!;2.819841
bob;anna henrieta;;1161353;This way! Through town!;1.9054276
bob;anna henrieta;;1161355;Try not to lose your way!;1.5632406
bob;anna henrieta;;1161357;It's not far now!;1.4961056
bob;anna henrieta;;1161361;Right, then up the hill!;1.9643779
bob;anna henrieta;;1161365;Fret not and feed the gossips! Hahah!;4.132407
bob;anna henrieta;;1161367;Clear a path!;1.185496
bob;anna henrieta;;1161369;Clear the way, I said!;1.4479166
bob;anna henrieta;;1161371;It's here, just round the corner!;2.1351383
bob;anna henrieta;;1161495;We must go to where the game is being held.;2.3415062
bob;anna henrieta;;1161497;The participants must find a unicorn's horn,...;4.506127
bob;anna henrieta;;1161532;In a moment I shall speak to Syanna. Will yo...;4.8004565
bob;anna henrieta;;1161552;The golden fish and the horn both contain th...;9.068603
bob;anna henrieta;;1161609;And I've another! Show me yours!;2.3107376
bob;anna henrieta;;1161620;Look - if we take "groan," hollow it out and...;13.331027
bob;anna henrieta;;1163826;Geralt! Magnificent! Breathtaking!;2.806441
bob;anna henrieta;;1163830;We knew that to summon you was a brilliant i...;5.5766315
bob;anna henrieta;;1163834;We had been long awaiting your arrival, had ...;8.599004
bob;anna henrieta;;1163857;Yes! I mean, no! Ugh. Yes. But solely to tel...;11.590802
bob;anna henrieta;;1163860;If we could turn back time, we would make ce...;7.727211
bob;anna henrieta;;1163949;Take him away, throw him in the dungeon. He ...;5.088872
bob;anna henrieta;;1166002;Then we must follow our other lead. Benoit s...;6.1084056
bob;anna henrieta;;1166137;Captain, we ride to town. Gather your men an...;6.7371473
bob;anna henrieta;;1166332;Let us see if all the barrels are present. H...;4.018579
bob;anna henrieta;;1166334;Hmm...;0.91559476
bob;anna henrieta;;1166336;I've a feeling we'll find something awry...;2.5646532
bob;anna henrieta;;1166338;He has his flaws, but I would never suspect ...;3.8226995
bob;anna henrieta;;1166340;He's been very loyal. He owes all he has to ...;3.7973993
bob;anna henrieta;;1166648;His father frittered away the family fortune...;7.9548855
bob;anna henrieta;;1166991;Nonsense. In Toussaint, knights have battled...;16.785276
bob;anna henrieta;;1166995;Geralt, though we value your fortuitous inte...;15.936055
bob;anna henrieta;;1166999;Naturally. But not here.;2.311515
bob;anna henrieta;;1167001;Ah! The very man we would entrust with these...;7.22496
bob;anna henrieta;;1167011;Damien, we settled the matter of the witcher...;12.366764
bob;anna henrieta;;1167013;Are the legends true? Do witchers usually de...;8.993201
bob;anna henrieta;;1167033;Hm, we shall be candid. The surprises we enc...;9.474835
bob;anna henrieta;;1167037;The response we expected.;1.7743349
bob;anna henrieta;;1167041;Disappointing. This "law" sounds rather roma...;15.351396
bob;anna henrieta;;1167043;Thus we've decided you shall receive the dee...;10.055338
bob;anna henrieta;;1167045;Title to the vineyard shall be given to you ...;10.268587
bob;anna henrieta;;1167051;Is it, now? The chancellery's bungled things...;7.989095
bob;anna henrieta;;1167053;Yet in its mood a morgue should present mini...;9.492707
bob;anna henrieta;;1167066;All the murdered men were knights who swore ...;5.4993844
bob;anna henrieta;;1167070;Let's think... At the moment, all the knights ...;11.6932
bob;anna henrieta;;1167072;Could it be that simple? Is Milton de Peyrac...;4.7208934
bob;anna henrieta;;1167094;Rather problematic. You see, the garden ente...;13.195106
bob;anna henrieta;;1167100;First and foremost, we must remain calm.;3.1542363
bob;anna henrieta;;1167102;Damien, order the gardens searched, immediat...;10.112087
bob;anna henrieta;;1167104;And you, witcher, follow me! My gardens, my ...;4.6648374
bob;anna henrieta;;1167106;A murder is out of the question. I will not ...;4.984269
bob;anna henrieta;;1167108;Horses! Ready our horses!;2.9076438
bob;anna henrieta;;1167114;They were close friends, tightly knit. And a...;11.728657
