;CAT1;CAT2;CAT3;ID;Caption
;bob-abilities;;;dlc\bob\data\gameplay\abilities\dettlaff_monster\blood_projectile.w2ent;blood projectile
;bob-abilities;;;dlc\bob\data\gameplay\abilities\lynx_rock_witch\lynx_rock_witch_rock.w2ent;lynx rock witch rock
;bob-abilities;;;dlc\bob\data\gameplay\abilities\sharley\sharley_stone_entity.w2ent;sharley stone entity
;bob-abilities;;;dlc\bob\data\gameplay\abilities\sharley\sharley_stone_proj.w2ent;sharley stone proj
;bob-abilities;;;dlc\bob\data\gameplay\abilities\sprigan\sprigan_root_attack.w2ent;sprigan root attack
;bob-abilities;;;dlc\bob\data\gameplay\abilities\water_mage\quick_sand_bob.w2ent;quick sand bob
;bob-abilities;;;dlc\bob\data\gameplay\abilities\water_mage\tornado_bob.w2ent;tornado bob
;bob-action points;animals;;dlc\bob\data\gameplay\community\actionpoints\animal\dog\dog_tricks_ap.w2ent;dog tricks ap
;bob-action points;animals;;dlc\bob\data\gameplay\community\actionpoints\animal\horse\horse_still_ap.w2ent;horse still ap
;bob-action points;animals;;dlc\bob\data\gameplay\community\actionpoints\animal\panther\panther_crouch_ap.w2ent;panther crouch ap
;bob-action points;animals;;dlc\bob\data\gameplay\community\actionpoints\animal\panther\panther_eating_ap.w2ent;panther eating ap
;bob-action points;animals;;dlc\bob\data\gameplay\community\actionpoints\animal\panther\panther_laying_ap.w2ent;panther laying ap
;bob-action points;children;;dlc\bob\data\gameplay\community\actionpoints\children_play\kneel_c_playing_stick_01_ap.w2ent;kneel c playing stick 01 ap
;bob-action points;children;;dlc\bob\data\gameplay\community\actionpoints\children_play\stand_c_balancing_dynamic_ap.w2ent;stand c balancing dynamic ap
;bob-action points;children;;dlc\bob\data\gameplay\community\actionpoints\children_play\stand_c_catching_fish_ap.w2ent;stand c catching fish ap
;bob-action points;children;;dlc\bob\data\gameplay\community\actionpoints\children_play\stand_c_catching_fish_dynamic_ap.w2ent;stand c catching fish dynamic ap
;bob-action points;children;;dlc\bob\data\gameplay\community\actionpoints\children_play\stand_c_hopscotch_dynamic_ap.w2ent;stand c hopscotch dynamic ap
;bob-action points;children;;dlc\bob\data\gameplay\community\actionpoints\children_play\stand_c_inspect_barrel_ap_dynamic.w2ent;stand c inspect barrel ap dynamic
;bob-action points;children;;dlc\bob\data\gameplay\community\actionpoints\children_play\stand_c_inspect_barrel_ap.w2ent;stand c inspect barrel ap
