;CAT1;CAT2;CAT3;ID;Caption
;player;;;dlc\modtemplates\storyboardui\geralt_npc.w2ent;player
;bob-characters;animals;;dlc\bob\data\characters\npc_entities\animals\boar_fairytale.w2ent;boar fairytale
;bob-characters;animals;;dlc\bob\data\characters\npc_entities\animals\cat_fairytale.w2ent;cat fairytale
;bob-characters;animals;;dlc\bob\data\characters\npc_entities\animals\goat_fairytale.w2ent;goat fairytale
;bob-characters;animals;;dlc\bob\data\characters\npc_entities\animals\horse\bob_horse_vehicle_no_interaction.w2ent;bob horse vehicle no interaction
;bob-characters;animals;;dlc\bob\data\characters\npc_entities\animals\horse\bob_horse_vehicle.w2ent;bob horse vehicle
;bob-characters;animals;;dlc\bob\data\characters\npc_entities\animals\horse\horse_nightmare.w2ent;horse nightmare
;bob-characters;animals;;dlc\bob\data\characters\npc_entities\animals\horse\unicorn_fake_wild.w2ent;unicorn fake wild
;bob-characters;animals;;dlc\bob\data\characters\npc_entities\animals\horse\unicorn_tame.w2ent;unicorn tame
;bob-characters;animals;;dlc\bob\data\characters\npc_entities\animals\horse\unicorn_wild.w2ent;unicorn wild
;bob-characters;animals;;dlc\bob\data\characters\npc_entities\animals\peacock_quest.w2ent;peacock quest
;bob-characters;animals;;dlc\bob\data\characters\npc_entities\animals\peacock.w2ent;peacock
;bob-characters;animals;;dlc\bob\data\characters\npc_entities\animals\pheasant.w2ent;pheasant
;bob-characters;animals;;dlc\bob\data\characters\npc_entities\animals\sheep_ep2.w2ent;sheep ep2
;bob-characters;animals;;dlc\bob\data\characters\npc_entities\animals\wolpertinger.w2ent;wolpertinger
;bob-characters;base entities;;dlc\bob\data\characters\base_entities\noble_woman_base\appearance_entity_duplicates\bob_noble_female_drunk.w2ent;bob noble female drunk
;bob-characters;base entities;;dlc\bob\data\characters\base_entities\woman_base\appearance_entity_duplicates\bob_citizen_female_community_drunk.w2ent;bob citizen female community drunk
;bob-characters;base entities;;dlc\bob\data\characters\base_entities\woman_base\appearance_entity_duplicates\bob_citizen_female_drunk.w2ent;bob citizen female drunk
;bob-characters;base entities;;dlc\bob\data\characters\base_entities\woman_base\appearance_entity_duplicates\bob_citizen_poor_female_community_drunk.w2ent;bob citizen poor female community drunk
;bob-characters;base entities;;dlc\bob\data\characters\base_entities\woman_base\appearance_entity_duplicates\bob_citizen_poor_female_drunk.w2ent;bob citizen poor female drunk
;bob-characters;crowd npcs;citizens;dlc\bob\data\characters\npc_entities\crowd_npc\bob_citizen\bob_citizen_female.w2ent;bob citizen female
