file;cat1;cat2;cat3;id;caption;frames
characters\animals\cat\cat.w2anims;animals;cat;cat;death;death;40
characters\animals\cat\cat.w2anims;animals;cat;cat;idle1;idle1;60
characters\animals\cat\cat.w2anims;animals;cat;cat;idle2;idle2;435
characters\animals\cat\cat.w2anims;animals;cat;cat;idle3;idle3;435
characters\animals\cat\cat.w2anims;animals;cat;cat;idle4;idle4;466
characters\animals\cat\cat.w2anims;animals;cat;cat;idle5;idle5;240
characters\animals\cat\cat.w2anims;animals;cat;cat;push_l;push l;20
characters\animals\cat\cat.w2anims;animals;cat;cat;push_r;push r;20
characters\animals\cat\cat.w2anims;animals;cat;cat;run;run;15
characters\animals\cat\cat.w2anims;animals;cat;cat;turn_l_180;turn l 180;67
characters\animals\cat\cat.w2anims;animals;cat;cat;turn_l_90;turn l 90;35
characters\animals\cat\cat.w2anims;animals;cat;cat;turn_l_90_3step;turn l 90 3step;67
characters\animals\cat\cat.w2anims;animals;cat;cat;turn_r_180;turn r 180;67
characters\animals\cat\cat.w2anims;animals;cat;cat;turn_r_90;turn r 90;35
characters\animals\cat\cat.w2anims;animals;cat;cat;turn_r_90_3step;turn r 90 3step;67
characters\animals\cat\cat.w2anims;animals;cat;cat;walk;walk;30
characters\animals\crow\crow.w2anims;animals;crow;crow;crow;crow;350
characters\animals\crow\crow.w2anims;animals;crow;crow;fly;fly;15
characters\animals\crow\crow.w2anims;animals;crow;crow;fly_idle_1;fly idle 1;105
characters\animals\crow\crow.w2anims;animals;crow;crow;fly_idle_2;fly idle 2;105
characters\animals\crow\crow.w2anims;animals;crow;crow;fly_idle_3;fly idle 3;150
characters\animals\crow\crow.w2anims;animals;crow;crow;fly_to_idle;fly to idle;85
characters\animals\crow\crow.w2anims;animals;crow;crow;idle_1;idle 1;150
characters\animals\crow\crow.w2anims;animals;crow;crow;idle_2;idle 2;160
characters\animals\crow\crow.w2anims;animals;crow;crow;idle_3;idle 3;150
characters\animals\crow\crow.w2anims;animals;crow;crow;idle_to_fly;idle to fly;70
characters\animals\deer\deer.w2anims;animals;deer;deer;death;death;35
characters\animals\deer\deer.w2anims;animals;deer;deer;death_2;death 2;45
characters\animals\deer\deer.w2anims;animals;deer;deer;hit;hit;25
characters\animals\deer\deer.w2anims;animals;deer;deer;idle1;idle1;60
characters\animals\deer\deer.w2anims;animals;deer;deer;idle2;idle2;350
characters\animals\deer\deer.w2anims;animals;deer;deer;idle3;idle3;250
characters\animals\deer\deer.w2anims;animals;deer;deer;idle4;idle4;150
characters\animals\deer\deer.w2anims;animals;deer;deer;idle5;idle5;300
characters\animals\deer\deer.w2anims;animals;deer;deer;idle6;idle6;250
characters\animals\deer\deer.w2anims;animals;deer;deer;push_l;push l;40
characters\animals\deer\deer.w2anims;animals;deer;deer;push_r;push r;40
characters\animals\deer\deer.w2anims;animals;deer;deer;run;run;20
characters\animals\deer\deer.w2anims;animals;deer;deer;turn_l;turn l;50
characters\animals\deer\deer.w2anims;animals;deer;deer;turn_r;turn r;50
characters\animals\deer\deer.w2anims;animals;deer;deer;walk;walk;40
characters\animals\dog\dog.w2anims;animals;dog;dog;death;death;38
characters\animals\dog\dog.w2anims;animals;dog;dog;hit;hit;20
characters\animals\dog\dog.w2anims;animals;dog;dog;idle1;idle1;50
characters\animals\dog\dog.w2anims;animals;dog;dog;idle2;idle2;250
characters\animals\dog\dog.w2anims;animals;dog;dog;idle3;idle3;250
characters\animals\dog\dog.w2anims;animals;dog;dog;idle4;idle4;300
characters\animals\dog\dog.w2anims;animals;dog;dog;idle5;idle5;300
characters\animals\dog\dog.w2anims;animals;dog;dog;idle6;idle6;130
characters\animals\dog\dog.w2anims;animals;dog;dog;push_l;push l;15
characters\animals\dog\dog.w2anims;animals;dog;dog;push_r;push r;15
characters\animals\dog\dog.w2anims;animals;dog;dog;run;run;15
characters\animals\dog\dog.w2anims;animals;dog;dog;turn_l_180;turn l 180;40
characters\animals\dog\dog.w2anims;animals;dog;dog;turn_l_90;turn l 90;40
characters\animals\dog\dog.w2anims;animals;dog;dog;turn_l_90_3step;turn l 90 3step;80
characters\animals\dog\dog.w2anims;animals;dog;dog;turn_r_180;turn r 180;40
characters\animals\dog\dog.w2anims;animals;dog;dog;turn_r_90;turn r 90;40
characters\animals\dog\dog.w2anims;animals;dog;dog;turn_r_90_3step;turn r 90 3step;80
characters\animals\dog\dog.w2anims;animals;dog;dog;walk;walk;20
characters\animals\goose\goose.w2anims;animals;goose;goose;death;death;30
characters\animals\goose\goose.w2anims;animals;goose;goose;goose;goose;150
characters\animals\goose\goose.w2anims;animals;goose;goose;idle1;idle1;60
characters\animals\goose\goose.w2anims;animals;goose;goose;idle2;idle2;150
characters\animals\goose\goose.w2anims;animals;goose;goose;idle3;idle3;170
characters\animals\goose\goose.w2anims;animals;goose;goose;idle4;idle4;150
characters\animals\goose\goose.w2anims;animals;goose;goose;idle5;idle5;150
characters\animals\goose\goose.w2anims;animals;goose;goose;push_l;push l;30
characters\animals\goose\goose.w2anims;animals;goose;goose;push_r;push r;30
characters\animals\goose\goose.w2anims;animals;goose;goose;run;run;13
characters\animals\goose\goose.w2anims;animals;goose;goose;turn_l_180;turn l 180;60
characters\animals\goose\goose.w2anims;animals;goose;goose;turn_l_90;turn l 90;30
characters\animals\goose\goose.w2anims;animals;goose;goose;turn_l_90_3step;turn l 90 3step;60
characters\animals\goose\goose.w2anims;animals;goose;goose;turn_r_180;turn r 180;60
characters\animals\goose\goose.w2anims;animals;goose;goose;turn_r_90;turn r 90;30
characters\animals\goose\goose.w2anims;animals;goose;goose;turn_r_90_3step;turn r 90 3step;60
characters\animals\goose\goose.w2anims;animals;goose;goose;walk;walk;30
characters\animals\crow\kruki\kruki.w2anims;animals;kruki;kruki;kruki;kruki;499
characters\animals\owl\owl.w2anims;animals;owl;owl;c_fly_front;c fly front;90
characters\animals\owl\owl.w2anims;animals;owl;owl;c_fly_front_2;c fly front 2;45
characters\animals\owl\owl.w2anims;animals;owl;owl;c_fly_front_slow;c fly front slow;0
characters\animals\owl\owl.w2anims;animals;owl;owl;c_fly_idle;c fly idle;649
characters\animals\owl\owl.w2anims;animals;owl;owl;c_fly_idle_2;c fly idle 2;65
characters\animals\owl\owl.w2anims;animals;owl;owl;c_fly_start;c fly start;65
characters\animals\owl\owl.w2anims;animals;owl;owl;c_fly_stop;c fly stop;0
characters\animals\owl\owl.w2anims;animals;owl;owl;c_fly_trap;c fly trap;65
